Data record 10/15,Not slowed,slowed,slower,slowest,Not slowed
,118,118,72,116,118
,120,118,42,62,118
,118,118,26,36,120
,120,120,16,20,118
,120,118,10,10,120
,120,118,6,6,118
,118,96,6,2,120
,120,54,4,2,120
,118,34,2,0,118
,118,20,2,0,120
,120,14,2,-2,118
,120,8,2,-2,120
,118,6,2,-2,118
,118,6,2,-2,120
,118,4,2,-2,120
,118,2,2,2,120
,118,2,2,-2,118
,120,2,2,-2,120
,120,2,0,-2,120
,118,2,0,0,118
,118,2,8,0,120
,118,2,0,2,120
,118,2,0,-2,118
,118,2,0,0,118
,120,2,0,0,126
,118,0,0,0,118
,118,2,-2,0,68
,118,2,0,0,40
,118,2,0,0,24
,118,2,0,0,14
,120,2,0,0,12
,118,2,0,0,4
,118,0,0,0,2
,68,0,-2,0,0
,40,0,-2,2,0
,22,2,0,2,0
,16,0,0,2,0
,6,2,-2,2,-2
,2,0,-2,4,-2
,2,0,-2,2,-2
,0,0,-2,2,-2
,0,0,-2,2,-2
,-2,0,-2,2,-2
,-2,0,0,2,-2
,-2,-2,-2,2,-2
,-2,0,-2,2,-2
,-2,-2,0,2,-2
,-2,0,-2,0,-2
,-2,-2,-2,2,-2
,-2,-2,0,2,-2
,-2,-2,-2,0,-2
,-2,-2,-2,2,-2
,-2,46,-2,2,-2
,-2,120,-2,2,-2
,-2,120,-2,2,-2
,-2,120,-2,2,-2
,0,118,-2,0,-2
,-2,118,-2,0,0
,0,118,0,0,0
,4,120,-2,0,4
,0,118,-2,2,0
,-2,120,0,2,0
,0,118,-2,0,0
,0,118,0,0,0
,0,118,0,0,0
,0,120,120,0,120
,0,118,120,0,120
,0,118,118,0,118
,0,120,118,0,118
,0,118,120,0,120
,0,118,118,0,118
,0,120,118,0,118
,120,118,124,0,120
,120,118,118,0,118
,118,120,120,0,120
,120,118,118,-2,118
,118,118,118,0,118
,118,118,120,0,118
,120,118,118,-2,118
,118,118,120,-2,120
,118,120,118,-2,118
,118,120,120,-2,120
,118,118,120,-2,118
,118,120,118,-2,118
,118,120,118,-2,118
,120,120,118,-2,118
,118,118,118,-2,120
,118,120,120,-2,120
,122,118,118,-2,118
,120,118,120,-2,118
,118,118,118,4,118
,120,118,118,-2,120
,120,118,120,-2,118
,118,120,118,-2,118
,120,118,118,-2,120
,118,118,124,-2,120
,118,118,120,-2,120
,120,118,118,-2,120
,118,92,120,-2,120
,120,52,118,-2,118
,118,32,118,-2,120
,118,20,120,-2,120
,120,12,120,-2,118
,118,8,118,-2,120
,118,6,120,-2,118
,120,4,118,0,62
,118,2,120,0,38
,118,8,118,0,22
,118,2,118,0,14
,118,2,118,-2,8
,120,2,120,0,4
,90,2,118,0,2
,50,2,120,0,0
,30,2,118,4,0
,18,2,118,0,0
,10,2,120,0,-2
,6,2,120,0,0
,6,0,118,0,-2
,0,0,120,2,-2
,0,2,120,2,-2
,0,0,118,120,-2
,0,0,118,120,-2
,-2,0,118,120,-2
,0,0,118,118,-2
,-2,0,122,120,-2
,-2,0,118,120,-2
,-2,0,118,118,-2
,0,0,120,118,-2
,-2,0,118,118,-2
,-2,0,118,120,0
,-2,0,74,118,-2
,-2,0,40,118,-2
,-2,-2,24,118,-2
,-2,-2,14,118,0
,-2,0,8,118,-2
,-2,-2,4,120,0
,0,2,2,124,-2
,-2,-2,0,118,-2
,-2,-2,0,120,-2
,0,-2,-2,120,0
,0,-2,0,118,0
,-2,-2,-2,118,-2
,0,0,-2,118,-2
,0,-2,-2,118,-2
,0,118,0,118,118
,0,118,0,118,118
,4,120,0,118,118
,0,120,6,118,118
,0,118,0,118,120
,0,120,0,118,118
,0,120,0,118,118
,120,118,0,118,120
,120,118,0,120,120
,120,120,2,118,118
,120,118,0,118,120
,120,118,0,118,120
,120,118,2,120,118
,118,118,0,118,118
,118,118,0,120,118
,118,120,0,126,118
,120,118,2,120,120
,120,118,2,118,120
,118,120,2,120,118
,120,118,2,120,118
,118,118,2,118,120
,118,120,2,118,118
,118,118,2,118,118
,120,118,2,118,120
,120,118,2,120,118
,126,118,2,118,118
,118,120,2,118,124
,118,118,0,118,118
,120,118,2,118,120
,120,118,2,120,120
,118,120,2,118,120
,122,120,2,118,118
,120,118,2,120,120
,118,118,2,118,120
,118,118,2,118,118
,118,120,2,118,118
,118,118,2,118,120
,118,120,2,120,118
,118,118,2,120,118
,118,118,0,118,120
,118,120,2,118,68
,120,120,2,118,40
,120,120,2,118,24
,118,118,0,118,14
,118,120,0,120,10
,118,120,0,118,6
,72,78,0,118,2
,42,44,0,120,2
,24,28,0,118,2
,16,18,0,120,0
,8,12,-2,118,0
,6,6,120,118,-2
,2,4,120,120,0
,2,4,118,118,0
,0,2,120,120,-2
,-2,2,126,120,0
,0,2,118,118,-2
,0,0,118,118,-2
,-2,0,118,120,-2
,-2,2,118,120,-2
,0,0,118,120,-2
,-2,0,120,124,0
,-2,0,118,120,-2
,-2,0,118,118,-2
,-2,0,120,118,-2
,-2,0,118,118,0
,-2,0,118,118,-2
,-2,0,118,120,0
,-2,0,120,120,-2
,-2,0,118,118,-2
,-2,0,120,120,0
,-2,-2,120,120,-2
,-2,0,118,118,0
,-2,4,120,118,-2
,-2,-2,118,118,-2
,-2,-2,118,118,-2
,-2,-2,118,120,-2
,-2,-2,118,118,0
,-2,-2,120,118,-2
,-2,-2,118,118,118
,0,-2,118,118,120
,-2,-2,120,118,118
,0,-2,118,120,118
,2,-2,118,120,118
,-2,-2,122,120,118
,120,-2,118,120,120
,120,-2,118,118,120
,118,-4,120,120,118
,118,0,120,118,118
,118,0,118,120,118
,118,-2,118,122,120
,118,-2,118,120,118
,120,120,118,80,120
,120,118,120,46,120
,118,120,120,28,120
,120,118,118,16,118
,120,118,118,8,124
,120,118,118,6,120
,120,118,120,2,118
,118,120,118,2,120
,120,118,118,0,120
,118,118,118,0,120
,118,118,118,-2,120
,118,118,118,-2,120
,118,118,120,-2,120
,118,120,118,0,120
,120,118,118,0,118
,118,118,124,-2,118
,118,120,118,-2,118
,120,120,118,-2,120
,118,118,118,-2,118
,118,118,118,-2,120
,120,118,118,-2,118
,118,118,120,4,118
,120,118,120,-2,118
,118,118,118,-2,118
,120,118,74,-2,120
,118,118,44,-2,118
,118,118,26,-2,118
,118,120,18,0,64
,118,120,10,-2,38
,118,118,6,-2,22
,118,118,4,-2,14
,118,118,2,-2,8
,92,120,2,-2,6
,52,120,2,-2,4
,32,118,0,-2,2
,20,118,0,-2,2
,12,118,2,0,0
,6,118,0,0,0
,4,118,0,0,0
,2,122,0,0,0
,2,120,0,0,0
,0,120,0,0,0
,0,120,0,0,0
,6,118,0,0,0
,0,118,4,2,0
,-2,120,-2,0,-2
,0,80,0,0,-2
,-2,46,0,0,-2
,-2,28,0,2,-2
,-2,16,-2,0,0
,-2,10,-4,0,-2
,-2,6,-2,2,0
,-2,2,-2,2,-2
,-2,2,0,2,-2
,-2,2,-2,2,-2
,-2,2,-2,2,-2
,-2,0,-2,0,0
,-2,0,-2,2,-2
,0,0,-2,2,-2
,-2,0,-2,2,0
,-2,-2,0,2,-2
,-2,0,-2,2,-2
,-2,0,-2,0,-2
,-2,-2,-2,2,-2
,-2,-2,-2,2,-2
,-2,-2,-2,2,-2
,-2,-2,-2,2,120
,-2,-2,-2,4,120
,-2,4,-2,0,120
,-2,-2,-2,2,120
,-2,-2,-2,2,118
,-2,0,-2,2,120
,122,-2,0,0,118
,120,0,2,2,118
,118,-2,-2,2,124
,118,-2,-2,0,118
,118,-2,0,0,118
,118,-2,0,2,118
,120,-2,0,2,120
,120,-2,0,0,118
,118,-2,0,0,118
,118,-2,0,0,120
,120,-2,0,0,120
,118,-2,0,0,120
,118,-2,0,0,118
,120,-2,0,0,118
,118,-2,0,0,118
,118,-2,0,0,118
,120,-2,2,0,118
,120,0,2,0,120
,118,0,120,4,120
,120,0,120,-2,120
,118,120,118,-2,118
,120,120,118,0,120
,118,120,120,-2,120
,118,118,120,-2,118
,118,120,120,-4,118
,118,122,118,-2,118
,120,118,120,-2,120
,118,118,120,0,120
,118,120,118,-2,118
,122,120,118,-2,118
,120,118,118,-2,118
,120,118,118,-2,120
,120,118,120,-2,118
,120,120,118,-2,118
,118,120,120,0,70
,118,120,118,-2,40
,120,118,118,-2,24
,118,120,120,-2,22
,120,118,118,-4,10
,78,118,118,-2,6
,44,120,120,-2,4
,28,118,118,2,2
,16,118,118,-2,2
,10,118,118,-2,2
,6,120,120,120,0
